learning_rate,max_depth,n_estimators,num_leaves,Accuracy,AUC,Precision,Recall,F1,ModelSize_KB
0.15,5,120,26,0.9952539026058834,0.9997555241076103,0.9883635791048302,0.9828925322184119,0.9856204634583904,320.62890625
0.15,6,90,22,0.9952474241764621,0.999729683818493,0.9878100570961197,0.9834171090336825,0.9856086881463928,225.55078125
0.15,5,110,30,0.9952487198623463,0.999745944807616,0.9886325143176752,0.9825871815348961,0.9856005780187934,309.17578125
0.12,6,120,22,0.9952396500611563,0.9997470121910692,0.9875564010250444,0.9836285056607319,0.9855885398688298,300.14453125
0.15,5,120,20,0.9952370586893878,0.9997546102885495,0.9870890728320794,0.9840904464383583,0.9855874788281789,270.83203125
0.15,6,90,24,0.9952370586893878,0.9997301778442302,0.9881164119433995,0.9830412928078169,0.9855723189475172,244.26953125
0.1,7,120,22,0.9952228061446607,0.9997455730073437,0.987677814561725,0.9834014500242715,0.9855349933893311,301.22265625
0.15,6,90,30,0.9952098492858179,0.9997663830885877,0.987094595125323,0.9839181973348367,0.9855038367583803,298.53515625
0.15,7,100,16,0.9951994837987437,0.9997410569560315,0.9870937841213483,0.9838555612971923,0.9854720125477894,188.53515625
0.15,6,90,26,0.9951917096834381,0.9997430935365459,0.9878366364287232,0.9830491223125225,0.9854370646522123,262.03515625
0.15,6,100,20,0.9951994837987437,0.9997584113370002,0.9894544909187064,0.9814519033525939,0.9854369504463251,229.84765625
0.12,7,90,26,0.995186526939901,0.9997299234008266,0.9877057884262938,0.9831509058736945,0.9854230837142689,263.72265625
0.1,7,110,24,0.9951670916516367,0.9997457044594361,0.987443586558269,0.9832996664630995,0.9853672697600703,299.67578125
0.1,7,110,28,0.9951657959657524,0.9997498945944101,0.9872672540497206,0.9834719155666213,0.9853659301910548,345.01953125
0.1,7,110,30,0.9951580218504468,0.9997574391434123,0.9870446171130473,0.9836519941748485,0.9853453853846003,367.92578125
0.15,7,70,28,0.9951450649916039,0.9997568531127592,0.9891188561779489,0.9814597328572995,0.9852744100135584,220.31640625
0.12,7,80,30,0.9951346995045297,0.9997311671052557,0.9870810577187537,0.9834719155666213,0.9852731815026453,268.06640625
0.15,6,110,18,0.9951152642162655,0.999696996684828,0.9864830920908034,0.9839651743630697,0.9852225244788686,229.59765625
0.15,7,70,26,0.9950997159856542,0.9997390108449823,0.9866499136170881,0.9836989712030817,0.9851722326336342,205.76953125
